0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
dielektrischen,dielektrische,schicht,grabens,graben,freilegt,atzen,substrat,metallschicht,atzstoppschicht,finne,leitfahigen,gatespacers,seitenwanden,planarisieren,atzmaske,polier,abscheiden,atzprozess,drain
wobeir,reste,bedeuten,formel,worinr,bedeutet,atomen,abstandsgruppe,bedeutung,phenyl,ausgewahlt,resten,einfachbindung,propyl,ethyl,geradkettigen,verzweigten,wasserstoff,substituierter,substituiert
stromt,ventil,zirkuliert,luft,kuhlmittel,pumpe,warmetauscher,druckdeckel,kuhler,kammer,wasserpumpe,ventils,vorratstank,außenluft,warmemedium,einlass,heizmodus,zirkulieren,kuhlmodus,vorratsbehalter
befestigt,gehause,gehauses,abdeckung,leiterplatte,hinteren,vorsteht,wand,halterung,nut,abdeckeinheit,anschlussglieds,lagerhulse,flansch,vorderen,ruckseite,gebogen,erstrecken,reflexionsfolie,hinten
verbinder,steckverbinder,gehause,verbinders,kabels,kabel,steckverbinders,gehauses,anschlusses,anschlusskorper,elastischen,elastisch,gebogen,kontaktierseite,vorsprung,verriegelnden,vorsteht,kabelseite,kontaktelements,eingerastet
anzeigefeld,uberlappt,substrat,elektrode,reflexionsfolie,transparente,zugewandt,flache,subpixeln,kanalleisten,anzeigeflache,anzeigebereich,abtastleitungen,anzeigepaneels,subpixel,draufsicht,abdeckeinheit,arraysubstrat,durchlassachse,anzeigepanel
antikorper,analyten,enzym,festphase,biologische,testkit,biologischen,kit,fangermolekul,ph,inkubator,probe,analyse,fangermolekule,analyt,molekulen,molekule,alkohole,gebundene,immunologische
bewegen,behaltern,transport,behalter,schiebeschuhs,forderrichtung,bewegt,transportiert,stuckguter,fordermittel,schlitten,bewegung,abzweigfuhrungs,bewegbar,forderstrecke,ubergibt,packstucke,fuhrungsrollen,verfahrbar,schwenkachsen
lautsprecher,ohr,audiosignals,mikrofons,akustischen,akustische,lautsprechers,schall,horer,horgerat,mikrofon,gehorgang,akustisches,audiosignal,ausgangswandler,schallsignals,horgerats,kopfhorer,horsystem,mikrofonsignals
spannung,schaltung,schalter,steuerschaltung,schalters,strom,stromquelle,wandler,digital,komparator,ausgang,widerstand,analog,komparators,steueranschluss,geschaltet,kondensators,kondensator,eingang,widerstands
aluminium,beschichtung,legierung,zink,fe,nickel,titan,magnesium,zn,kupfer,chrom,cu,pseudobrookit,kratzfestes,bor,prozentpunkte,cr,kohlenstoff,zr,eisen
